word_count,avg_sentence_length,punctuation_count,cap_word_count,title_words_count,review_rating,word2vec_prob,helpfulness_rate
246,9.111111111,8,19,7,5,0.568908557,1
155,15.8,0,5,3,2,0.573960703,0.75
126,18,1,4,8,5,0.574469066,1
48,12,2,0,5,5,0.575428375,0.909090909
52,13,0,4,7,1,0.569391226,0.421052632
119,17,0,6,4,5,0.574437503,0.777777778
258,23.45454545,0,1,9,5,0.580657594,1
128,16,0,3,4,5,0.578858924,0.727272727
117,16.71428571,7,4,1,5,0.574427283,0.666666667
61,6.888888889,1,5,3,5,0.56351465,0.818181818
63,12.6,1,2,4,5,0.578521177,0.777777778
62,12.4,1,5,4,1,0.567915145,0.1
383,29.61538462,0,9,6,1,0.579677397,0.125
61,20.66666667,0,1,7,5,0.576457219,0.714285714
25,6.5,0,1,4,5,0.584692879,0.666666667
400,17.73913043,0,19,1,5,0.576794405,0.8
140,14.3,1,2,1,4,0.577537678,0.956521739
182,26.57142857,1,6,7,3,0.581096028,0.75
143,20.71428571,1,1,4,5,0.566902095,0.333333333
11,3.666666667,0,0,5,4,0.568942581,0.428571429
131,22,0,4,7,3,0.573641186,0.375
155,19.625,0,3,4,5,0.577137069,0.666666667
173,15.81818182,0,3,3,5,0.573542045,0.714285714
255,13.1,0,4,4,5,0.579396607,0.866666667
255,18.64285714,0,8,3,3,0.577763092,0.692307692
371,15.4,1,17,5,5,0.577085058,0.846153846
105,17.5,0,10,4,5,0.573856499,1
75,18.75,0,1,8,5,0.577501745,1
300,25.5,0,1,6,5,0.582622857,0.962264151
105,11.66666667,0,3,2,5,0.573394072,1
123,13.88888889,5,5,6,5,0.578281082,1
550,20.03571429,0,37,11,5,0.576316605,1
74,14.8,0,6,2,4,0.56913024,0.75
236,21.81818182,1,8,1,5,0.576674341,1
288,28.8,0,5,12,2,0.578717391,0.666666667
55,27.5,0,2,3,5,0.583056551,1
826,17.87234043,9,24,7,1,0.575268647,0.706896552
109,27.75,2,1,5,3,0.572794741,0.868852459
414,16.84,7,26,8,2,0.573543307,0.857142857
78,13,1,3,1,5,0.575434262,1
44,14.66666667,0,1,2,4,0.578264343,1
84,8.5,2,6,6,5,0.571880856,0.6
47,9.4,1,2,2,5,0.57286989,1
376,20.26315789,4,8,10,5,0.580879353,0.988764045
193,10,3,17,3,5,0.570665766,1
152,21.71428571,0,3,1,5,0.572917862,0.888888889
191,27.28571429,0,4,7,5,0.575816908,0.777777778
204,18.81818182,0,10,2,5,0.57541502,1
169,11.46666667,1,8,5,1,0.574057362,0.702702703
318,29.27272727,0,2,2,5,0.580562891,1
93,11.875,1,17,2,5,0.570720617,1
126,15.875,0,3,4,5,0.575814612,0.714285714
135,12.45454545,0,2,8,4,0.574178772,0.428571429
141,11.75,0,12,1,5,0.568593897,0.952380952
164,23.42857143,0,3,1,4,0.572929932,0.777777778
27,7,0,0,1,5,0.574649361,0.8
62,12.4,0,3,3,1,0.569254115,0.565217391
70,14.4,0,2,7,5,0.575629915,0.8
71,10.14285714,1,1,6,5,0.580770128,1
128,18.28571429,0,3,5,5,0.583327187,1
145,20.71428571,1,4,4,4,0.577015194,0.875
283,15.83333333,3,8,2,4,0.575248173,0.5
132,16.5,1,4,5,5,0.577963075,1
269,19.21428571,0,3,9,5,0.581310068,1
253,17.2,2,9,8,5,0.57367972,1
119,15,4,11,4,5,0.571557845,1
26,8.666666667,0,3,4,5,0.576833913,0.8
83,13.83333333,1,1,6,5,0.573848193,1
84,16.8,1,6,3,5,0.571133155,1
115,12.88888889,0,5,3,2,0.572719189,0.777777778
150,13.81818182,1,9,1,4,0.573156878,1
65,21.66666667,0,2,3,5,0.574483105,1
211,21.2,2,11,6,1,0.571586272,0.75
39,13,0,2,7,4,0.572243339,1
200,18.18181818,1,11,3,1,0.570547838,1
69,13.8,0,9,5,5,0.569312006,1
62,12.4,1,5,4,1,0.572938414,0.9
196,18.09090909,0,14,8,5,0.575703799,0.923076923
47,9.4,0,2,2,5,0.567245636,1
212,7.333333333,4,21,4,5,0.573429724,1
